"","Substance","func","size_class","layer","time","cell_type_general","species","assay","type","media","dose","model_2_values","bmd_id"
"57","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",70,77.4207543309799,4070
"58","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",80,76.0724747762749,4070
"59","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",90,75.0249570821374,4070
"60","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","5ROBC8QM",100,74.2782012485673,4070
"61","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",10,94.0365246665978,4074
"62","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",20,92.3691622410714,4074
"63","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",30,90.8024817490609,4074
"64","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",40,89.3364831905661,4074
"65","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",50,87.9711665655871,4074
"66","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",60,86.7065318741239,4074
"67","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",70,85.5425791161765,4074
"68","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",80,84.479308291745,4074
"69","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",90,83.5167194008292,4074
"70","QKZn1yzA",NA,"YyZvyFTy",1,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","JS8n0pw8","SKQGslHu",100,82.6548124434292,4074
"71","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",10,89.0479641571498,4078
