Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,log(BCF) (L/Kg)
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,whole body,1.4,12.0,33,True,0.982271233
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,blood,1.4,12.0,33,True,1.880813592
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Oncorhynchus mykiss,both,liver,1.4,12.0,33,True,2.0
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,0.083333333,1,False,1.514105286
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,0.25,1,False,1.848820179
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,0.875,1,False,2.302436779
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,1.208333333,1,False,2.440787245
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,1.875,1,False,2.664008045
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,4.93,2.0,1,False,2.69336081
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,0.083333333,1,False,1.350126434
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,0.25,1,False,1.754006878
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,0.875,1,False,2.238484896
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,1.208333333,1,False,2.426654824
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,1.875,1,False,2.619345832
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,both,whole body,51.92,2.0,1,False,2.656115292
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,liver,7.45,7.0,5,False,2.8162413
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gill,7.45,7.0,5,False,2.62324929
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gonad,7.45,7.0,5,False,2.851258349
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,brain,7.45,7.0,5,False,2.079181246
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,liver,74.435,7.0,5,False,2.831229694
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gill,74.435,7.0,5,False,2.694605199
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,gonad,74.435,7.0,5,False,2.88536122
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,female,brain,74.435,7.0,5,False,2.096910013
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,liver,7.45,7.0,5,False,3.161966616
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gill,7.45,7.0,5,False,3.095518042
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gonad,7.45,7.0,5,False,2.820201459
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,brain,7.45,7.0,5,False,2.530199698
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,liver,74.435,7.0,5,False,3.200576927
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gill,74.435,7.0,5,False,3.135132651
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,gonad,74.435,7.0,5,False,2.862727528
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],Danio rerio,male,brain,74.435,7.0,5,False,2.494154594
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Cyprinus carpio,both,whole body,6.0,28.0,28,True,0.953587882
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Cyprinus carpio,both,whole body,8.0,28.0,28,True,1.73884487
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Cyprinus carpio,both,whole body,10.0,28.0,28,True,2.736426033
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,8.28,28.0,28,True,2.641853457
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,9.28,28.0,28,True,2.854880572
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,10.28,28.0,28,True,3.030417511
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,11.28,28.0,28,True,3.221130761
C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Cyprinus carpio,both,whole body,12.28,28.0,28,True,3.275167084
